"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","significant"
"AME1",30.2255201485349,0.525680602022875,0.361378563052092,0.104818582170929,0.159655264314649,"AME1","Not Sig"
"AMF1",26.3048905958249,-0.234069699012293,0.322304826495456,0.42758239683761,0.513723352214259,"AMF1","Not Sig"
"AMN1",44.2130419846076,2.27893053220718,0.349420377503984,9.85922405553139e-12,1.00827238330242e-10,"AMN1","Up"
"AMS1",652.844941087028,-1.05727556349203,0.173615309195841,4.59434654579332e-10,3.775112060142e-09,"AMS1","Down"
"ANB1",35.3641008157601,1.65303724513634,0.309336395586278,1.87851660537819e-08,1.23338285099596e-07,"ANB1","Up"
"ANK1",22.892021389831,-0.106334649438712,0.363099339431724,0.742878752929598,0.796809923081337,"ANK1","Not Sig"
"ANP1",64.6043644307688,0.401050232012786,0.273229825541947,0.119359717631001,0.177957958536199,"ANP1","Not Sig"
"ANR2",44.1456546437195,-0.568218942572726,0.284634913055403,0.0327858231216543,0.058974476442795,"ANR2","Not Sig"
"ANT1",67.1979099312992,-1.12504382437663,0.271020769445267,1.21724943532264e-05,4.92356713029272e-05,"ANT1","Down"
"ANY1",58.5401360509591,0.156224728833522,0.282538209913219,0.557928277974173,0.63720922559974,"ANY1","Not Sig"
"AOS1",59.9579290830919,0.370133271535404,0.273075257518098,0.150717172457314,0.217296871836653,"AOS1","Not Sig"
"APA1",180.320025489981,0.204022882303345,0.207905427315685,0.310696326695581,0.393844380588053,"APA1","Not Sig"
"APA2",157.544636126421,-0.426680552770205,0.196727676315159,0.0250283049869108,0.0467495386533053,"APA2","Not Sig"
"APC1",108.545559566908,-1.24121586741935,0.296044580249463,8.69914040289392e-06,3.66438188356842e-05,"APC1","Down"
"APC11",33.8813988579131,-0.104466006106535,0.320318938832043,0.722022608234828,0.780612344355494,"APC11","Not Sig"
"APC2",32.4292167810592,-0.670517169450479,0.311729798090252,0.0202997054721651,0.0390345826951724,"APC2","Not Sig"
"APC4",36.392294265782,-1.18016218043936,0.32235162473224,8.69013875259356e-05,0.000298603416351403,"APC4","Down"
"APC5",36.6878902677097,-0.413521498867007,0.314037658642408,0.153958650271919,0.221456592857062,"APC5","Not Sig"
"APC9",40.802419130829,0.104012279793164,0.277440712134579,0.691141968384262,0.756212303943283,"APC9","Not Sig"
"APD1",201.053757892051,-0.0181318350718721,0.175852862274771,0.914779924993267,0.934808498710557,"APD1","Not Sig"
"APE1",439.426957356617,1.534323683194,0.26635293700922,1.89933681964996e-09,1.43287910416562e-08,"APE1","Up"
"APE2",484.772970708542,-1.56540684134434,0.267382673171472,1.04184535029845e-09,8.19702234819904e-09,"APE2","Down"
"APE3",1099.30412737696,1.40745626270592,0.154285883615617,2.00134748957714e-20,5.23155974611893e-19,"APE3","Up"
"APE4",318.937901872919,-0.725523531459061,0.198384317231386,0.000157754178253206,0.000511877536629023,"APE4","Not Sig"
"APJ1",233.739135653783,0.905311110182722,0.217776261886654,1.59580235380931e-05,6.32218014674879e-05,"APJ1","Not Sig"
"APL1",106.448820813979,-0.166258869258373,0.217954170178956,0.427878011738128,0.513747498961813,"APL1","Not Sig"
"APL2",139.55940036947,-0.404328124598748,0.197804936140759,0.0349353583882694,0.0622185274829605,"APL2","Not Sig"
"APL3",35.2167781539454,-0.574046976848077,0.302707777398522,0.0407737651760623,0.0709671569368054,"APL3","Not Sig"
"APL4",102.924597051327,-0.881694864840655,0.25999966365477,0.000349099380600996,0.00104936159864695,"APL4","Not Sig"
"APL5",175.065731028418,0.530508197121538,0.208616604707377,0.00844978178649184,0.0179317448079042,"APL5","Not Sig"
"APL6",103.394907875902,0.148422662684942,0.212013314519786,0.46969187280563,0.554938778879229,"APL6","Not Sig"
"APM1",45.6887051489006,-0.370726317532181,0.270041758457811,0.146294266026185,0.211629202004262,"APM1","Not Sig"
"APM2",78.8598751397975,0.0209686648924074,0.227457915607622,0.924926090344633,0.942447458904896,"APM2","Not Sig"
"APM3",49.0669812500553,0.0051592472841774,0.251787363317352,0.983655179717372,0.988603498982928,"APM3","Not Sig"
"APM4",86.4965085475358,-0.829047048829351,0.274222241635251,0.00131846437989568,0.00344488077586943,"APM4","Not Sig"
"APN1",70.2586765750416,1.4766264055032,0.2815299040265,3.76600187291601e-08,2.36177292344083e-07,"APN1","Up"
"APN2",49.3737204904791,-1.56811931107351,0.293238424410699,1.8665645656796e-08,1.22697557936682e-07,"APN2","Down"
"APP1",65.4091388115544,-0.490431513410869,0.248735147608358,0.0384303203955481,0.0673916025995913,"APP1","Not Sig"
"APQ12",55.5167490965025,1.7899878361924,0.31227185076742,1.91790283449432e-09,1.44203608281737e-08,"APQ12","Up"
"APQ13",25.4640948721313,1.90674105617657,0.472590167897176,8.30024621078238e-06,3.50956744543588e-05,"APQ13","Up"
"APS1",73.7409378174249,-0.444327754693181,0.24638007657043,0.0582391923423042,0.096788485431625,"APS1","Not Sig"
"APS2",57.3049560128964,0.117179481795123,0.237790273729211,0.607579530490068,0.682352919807557,"APS2","Not Sig"
"APS3",22.2227747733156,0.279860875835136,0.36098554888189,0.38888717465171,0.474260923261754,"APS3","Not Sig"
"APT1",69.509670301731,-0.229179890536427,0.352849173762127,0.473751500079239,0.55851757459289,"APT1","Not Sig"
"APT2",55.5034540919298,-0.374929539708278,0.338156604674,0.223062970694703,0.299384824230196,"APT2","Not Sig"
"AQR1",69.6762525020392,-2.36669022291646,0.319407673254154,1.627874751454e-14,2.32898500246386e-13,"AQR1","Down"
"AQY2",7.21814415230772,0.442753844986008,0.515329457797016,0.28246947635124,0.364047139233202,"AQY2","Not Sig"
"AQY3",17.5051662628278,-6.81148680970083,2.54841317633876,1.8082905235684e-07,1.01257028917334e-06,"AQY3","Down"
"ARA1",433.684215675088,-0.137152318569673,0.181843902898977,0.438250517952294,0.523840469535284,"ARA1","Not Sig"
"ARA2",60.7215360892932,0.0295722882113439,0.252224742982939,0.90316594536781,0.925898451396024,"ARA2","Not Sig"
"ARB1",366.253717278202,-1.05475424787294,0.242046818273824,5.23092543914099e-06,2.28786527807308e-05,"ARB1","Down"
"ARC1",184.896570038347,0.0471806156207996,0.216446684209336,0.822551262038959,0.863941374360859,"ARC1","Not Sig"
"ARC15",174.890398902825,1.06757599140353,0.188521505880334,6.03585735510006e-09,4.23645998048052e-08,"ARC15","Up"
"ARC18",98.9790555767268,0.169414124957903,0.20170777932904,0.387342759623431,0.472604448960346,"ARC18","Not Sig"
"ARC19",135.55677008774,0.0571910491580803,0.205444302454335,0.775427995635104,0.823726587083701,"ARC19","Not Sig"
"ARC35",137.850057082968,0.513447288045582,0.219161793255402,0.0147101672828016,0.0292638962835246,"ARC35","Not Sig"
"ARC40",167.281909438348,-0.0471761745689124,0.196632928747285,0.803552067841842,0.848286519627716,"ARC40","Not Sig"
"ARD1",26.6184510824613,0.561968387639348,0.377136058640162,0.0943690023872063,0.146394952677214,"ARD1","Not Sig"
"ARE1",13.0786850793361,-1.80154472321295,0.556798689652727,0.000215465327431073,0.000680199233436469,"ARE1","Down"
"ARE2",96.207416593619,-0.878188068140434,0.244793594999536,0.0001667201836209,0.000539094050390356,"ARE2","Not Sig"
"ARF1",292.006229537403,0.438221695676945,0.182793493038013,0.0138731146982594,0.0278258170032495,"ARF1","Not Sig"
"ARF2",395.495136489187,-0.200334911204562,0.168659050717082,0.224126902035762,0.300591198750433,"ARF2","Not Sig"
"ARF3",30.1755772950073,-0.0107752163997014,0.32946941763239,0.970495935344397,0.978542585132761,"ARF3","Not Sig"
"ARG1",460.855785225712,1.04912454063377,0.222630502439913,1.02014036047201e-06,5.01601685288087e-06,"ARG1","Up"
"ARG2",66.0483175991006,-0.201699414995506,0.241070820717082,0.380461597502755,0.466017555601141,"ARG2","Not Sig"
"ARG3",61.3997606174791,2.4025254116825,0.313132311289413,2.05333976867713e-15,3.27247369401135e-14,"ARG3","Up"
"ARG4",520.702259129641,-0.326537206094811,0.221447977725141,0.123925204653035,0.183931439328489,"ARG4","Not Sig"
"ARG56",184.085147417818,0.126512459353995,0.211435954726691,0.537063045059279,0.61830225850208,"ARG56","Not Sig"
"ARG7",123.641929600703,0.724392331718607,0.213754454640036,0.000436187640428438,0.00128018555118399,"ARG7","Not Sig"
"ARG8",107.256339578314,1.14367824576747,0.252752019617835,2.09896082530988e-06,9.80099069848369e-06,"ARG8","Up"
"ARG80",9.92803500813593,-0.754116142634539,0.485466084959212,0.0638760604001966,0.104878979124949,"ARG80","Not Sig"
